COUNTY AVERAGE TEMPERATURE (F),STATE AVERAGE TEMPERATURE (F),COUNTY NAME,STATE
55.1,54.7,Phelps County,MO
53.4,54.7,Pike County,MO
54,54.7,Platte County,MO
56.1,54.7,Polk County,MO
55.7,54.7,Pulaski County,MO
50.3,54.7,Putnam County,MO
53.6,54.7,Ralls County,MO
53.5,54.7,Randolph County,MO
52.3,54.7,Ray County,MO
55.4,54.7,Reynolds County,MO
56.5,54.7,Ripley County,MO
54.6,54.7,St. Charles County,MO
55.5,54.7,St. Clair County,MO
55.4,54.7,Ste. Genevieve County,MO
55.1,54.7,St. Francois County,MO
55.5,54.7,St. Louis County,MO
53.6,54.7,Saline County,MO
50.9,54.7,Schuyler County,MO
51.5,54.7,Scotland County,MO
56.9,54.7,Scott County,MO
55.5,54.7,Shannon County,MO
52.9,54.7,Shelby County,MO
56.6,54.7,Stoddard County,MO
55.7,54.7,Stone County,MO
50.8,54.7,Sullivan County,MO
55.9,54.7,Taney County,MO
55.1,54.7,Texas County,MO
56,54.7,Vernon County,MO
53.7,54.7,Warren County,MO
54.5,54.7,Washington County,MO
55.1,54.7,Wayne County,MO
55.8,54.7,Webster County,MO
50.5,54.7,Worth County,MO
55.4,54.7,Wright County,MO
55.5,54.7,St. Louis city,MO
40.4,44.2,Beaverhead County,MT
47.8,44.2,Big Horn County,MT
43.7,44.2,Blaine County,MT
44.5,44.2,Broadwater County,MT
45.4,44.2,Carbon County,MT
44.9,44.2,Carter County,MT
45.1,44.2,Cascade County,MT
44.6,44.2,Chouteau County,MT
45.6,44.2,Custer County,MT
41.1,44.2,Daniels County,MT
44.3,44.2,Dawson County,MT
42,44.2,Deer Lodge County,MT
44.3,44.2,Fallon County,MT
44.2,44.2,Fergus County,MT
42.8,44.2,Flathead County,MT
44.6,44.2,Gallatin County,MT
45,44.2,Garfield County,MT
41.2,44.2,Glacier County,MT
44.3,44.2,Golden Valley County,MT
43.1,44.2,Granite County,MT
43.3,44.2,Hill County,MT
42.8,44.2,Jefferson County,MT
44.9,44.2,Judith Basin County,MT
45.4,44.2,Lake County,MT
44.2,44.2,Lewis and Clark County,MT
43.5,44.2,Liberty County,MT
45.8,44.2,Lincoln County,MT
42.7,44.2,McCone County,MT
44.5,44.2,Madison County,MT
42.8,44.2,Meagher County,MT
45.8,44.2,Mineral County,MT
45.6,44.2,Missoula County,MT
46.1,44.2,Musselshell County,MT
44.5,44.2,Park County,MT
45.1,44.2,Petroleum County,MT
43.5,44.2,Phillips County,MT
42.9,44.2,Pondera County,MT
46.6,44.2,Powder River County,MT
41.7,44.2,Powell County,MT
44.5,44.2,Prairie County,MT
45.9,44.2,Ravalli County,MT
43.9,44.2,Richland County,MT
42,44.2,Roosevelt County,MT
46.5,44.2,Rosebud County,MT
46,44.2,Sanders County,MT
41.3,44.2,Sheridan County,MT
41.3,44.2,Silver Bow County,MT
45.5,44.2,Stillwater County,MT
43.3,44.2,Sweet Grass County,MT
43.3,44.2,Teton County,MT
43.4,44.2,Toole County,MT
47.1,44.2,Treasure County,MT
42.9,44.2,Valley County,MT
42.9,44.2,Wheatland County,MT
44.4,44.2,Wibaux County,MT
47.5,44.2,Yellowstone County,MT
50.8,49.9,Adams County,NE
48.7,49.9,Antelope County,NE
49.1,49.9,Arthur County,NE
48.4,49.9,Banner County,NE
48.1,49.9,Blaine County,NE
48.4,49.9,Boone County,NE
47.7,49.9,Box Butte County,NE
48.4,49.9,Boyd County,NE
48.8,49.9,Brown County,NE
49.3,49.9,Buffalo County,NE
49.2,49.9,Burt County,NE
50,49.9,Butler County,NE
50.6,49.9,Cass County,NE
48.6,49.9,Cedar County,NE
50.3,49.9,Chase County,NE
47.8,49.9,Cherry County,NE
48.2,49.9,Cheyenne County,NE
50.7,49.9,Clay County,NE
49.4,49.9,Colfax County,NE
48.8,49.9,Cuming County,NE
48.5,49.9,Custer County,NE
48.7,49.9,Dakota County,NE
47.8,49.9,Dawes County,NE
49.4,49.9,Dawson County,NE
49.1,49.9,Deuel County,NE
48.1,49.9,Dixon County,NE
49.3,49.9,Dodge County,NE
50.5,49.9,Douglas County,NE
51.2,49.9,Dundy County,NE
51,49.9,Fillmore County,NE
50.8,49.9,Franklin County,NE
50.3,49.9,Frontier County,NE
50.7,49.9,Furnas County,NE
51.7,49.9,Gage County,NE
48.1,49.9,Garden County,NE
48.2,49.9,Garfield County,NE
50.5,49.9,Gosper County,NE
47.7,49.9,Grant County,NE
48.7,49.9,Greeley County,NE
50.6,49.9,Hall County,NE
50.8,49.9,Hamilton County,NE
50.8,49.9,Harlan County,NE
50.4,49.9,Hayes County,NE
50.8,49.9,Hitchcock County,NE
48.3,49.9,Holt County,NE
47.7,49.9,Hooker County,NE
49.2,49.9,Howard County,NE
51.5,49.9,Jefferson County,NE
51.4,49.9,Johnson County,NE
50.4,49.9,Kearney County,NE
49.4,49.9,Keith County,NE
48.4,49.9,Keya Paha County,NE
47.7,49.9,Kimball County,NE
48.9,49.9,Knox County,NE
51.3,49.9,Lancaster County,NE
48.8,49.9,Lincoln County,NE
48.6,49.9,Logan County,NE
48.4,49.9,Loup County,NE
48.7,49.9,McPherson County,NE
48.2,49.9,Madison County,NE
49.3,49.9,Merrick County,NE
48.1,49.9,Morrill County,NE
49.1,49.9,Nance County,NE
51.7,49.9,Nemaha County,NE
51,49.9,Nuckolls County,NE
51.1,49.9,Otoe County,NE
51.7,49.9,Pawnee County,NE
50.2,49.9,Perkins County,NE
50.5,49.9,Phelps County,NE
48.5,49.9,Pierce County,NE
49.4,49.9,Platte County,NE
50.3,49.9,Polk County,NE
50.6,49.9,Red Willow County,NE
52.1,49.9,Richardson County,NE
48.6,49.9,Rock County,NE
51.5,49.9,Saline County,NE
50.7,49.9,Sarpy County,NE
50,49.9,Saunders County,NE
47.7,49.9,Scotts Bluff County,NE
50.7,49.9,Seward County,NE
46.9,49.9,Sheridan County,NE
48.9,49.9,Sherman County,NE
46.4,49.9,Sioux County,NE
48.5,49.9,Stanton County,NE
51.4,49.9,Thayer County,NE
48.5,49.9,Thomas County,NE
49.2,49.9,Thurston County,NE
48.2,49.9,Valley County,NE
50.2,49.9,Washington County,NE
48.5,49.9,Wayne County,NE
51,49.9,Webster County,NE
48.5,49.9,Wheeler County,NE
50.7,49.9,York County,NE
51.5,57.3,Churchill County,NV
65.5,57.3,Clark County,NV
47.2,57.3,Douglas County,NV
42.7,57.3,Elko County,NV
53.6,57.3,Esmeralda County,NV
47.2,57.3,Eureka County,NV
49.3,57.3,Humboldt County,NV
48.6,57.3,Lander County,NV
55.3,57.3,Lincoln County,NV
50.7,57.3,Lyon County,NV
52.2,57.3,Mineral County,NV
51.5,57.3,Nye County,NV
51,57.3,Pershing County,NV
52.6,57.3,Storey County,NV
48.5,57.3,Washoe County,NV
45.8,57.3,White Pine County,NV
47.4,57.3,Carson City,NV
43.8,44.5,Belknap County,NH
42.1,44.5,Carroll County,NH
44.7,44.5,Cheshire County,NH
40.5,44.5,Coos County,NH
42.3,44.5,Grafton County,NH
45.6,44.5,Hillsborough County,NH
44.6,44.5,Merrimack County,NH
45.9,44.5,Rockingham County,NH
45.6,44.5,Strafford County,NH
44.7,44.5,Sullivan County,NH
54.6,51.9,Atlantic County,NJ
50,51.9,Bergen County,NJ
54.3,51.9,Burlington County,NJ
55.4,51.9,Camden County,NJ
54.7,51.9,Cape May County,NJ
55.2,51.9,Cumberland County,NJ
50.5,51.9,Essex County,NJ
55.5,51.9,Gloucester County,NJ
51.9,51.9,Hudson County,NJ
51.2,51.9,Hunterdon County,NJ
52.2,51.9,Mercer County,NJ
51.1,51.9,Middlesex County,NJ
53.7,51.9,Monmouth County,NJ
49,51.9,Morris County,NJ
53.7,51.9,Ocean County,NJ
49.3,51.9,Passaic County,NJ
54.2,51.9,Salem County,NJ
51.1,51.9,Somerset County,NJ
49.1,51.9,Sussex County,NJ
51.3,51.9,Union County,NJ
47.2,51.9,Warren County,NJ
56,53.1,Bernalillo County,NM
48,53.1,Catron County,NM
56.1,53.1,Chaves County,NM
48.6,53.1,Cibola County,NM
48,53.1,Colfax County,NM
57.3,53.1,Curry County,NM
57.7,53.1,De Baca County,NM
59.6,53.1,DoÌ±a Ana County,NM
62.2,53.1,Eddy County,NM
55.4,53.1,Grant County,NM
53.9,53.1,Guadalupe County,NM
51.8,53.1,Harding County,NM
60.6,53.1,Hidalgo County,NM
61.6,53.1,Lea County,NM
53.1,53.1,Lincoln County,NM
49.4,53.1,Los Alamos County,NM
58,53.1,Luna County,NM
48.9,53.1,McKinley County,NM
44.6,53.1,Mora County,NM
56.1,53.1,Otero County,NM
58.1,53.1,Quay County,NM
44.9,53.1,Rio Arriba County,NM
57.8,53.1,Roosevelt County,NM
53.3,53.1,Sandoval County,NM
50.5,53.1,San Juan County,NM
48.2,53.1,San Miguel County,NM
52.4,53.1,Santa Fe County,NM
58.9,53.1,Sierra County,NM
53.2,53.1,Socorro County,NM
42.5,53.1,Taos County,NM
51.1,53.1,Torrance County,NM
50.2,53.1,Union County,NM
56.4,53.1,Valencia County,NM
46.3,48.2,Albany County,NY
44.9,48.2,Allegany County,NY
51.5,48.2,Bronx County,NY
46.3,48.2,Broome County,NY
45.1,48.2,Cattaraugus County,NY
48,48.2,Cayuga County,NY
48.2,48.2,Chautauqua County,NY
47.1,48.2,Chemung County,NY
45.4,48.2,Chenango County,NY
44.4,48.2,Clinton County,NY
47.6,48.2,Columbia County,NY
46,48.2,Cortland County,NY
45.9,48.2,Delaware County,NY
48.3,48.2,Dutchess County,NY
48,48.2,Erie County,NY
43.1,48.2,Essex County,NY
42.6,48.2,Franklin County,NY
43.2,48.2,Fulton County,NY
48.6,48.2,Genesee County,NY
46,48.2,Greene County,NY
41.1,48.2,Hamilton County,NY
42.2,48.2,Herkimer County,NY
44.9,48.2,Jefferson County,NY
52.8,48.2,Kings County,NY
43.5,48.2,Lewis County,NY
47.6,48.2,Livingston County,NY
46.2,48.2,Madison County,NY
48.6,48.2,Monroe County,NY
45.4,48.2,Montgomery County,NY
53.7,48.2,Nassau County,NY
51.2,48.2,New York County,NY
48.6,48.2,Niagara County,NY
44.1,48.2,Oneida County,NY
46.2,48.2,Onondaga County,NY
48.2,48.2,Ontario County,NY
49.3,48.2,Orange County,NY
48.6,48.2,Orleans County,NY
45.4,48.2,Oswego County,NY
45.7,48.2,Otsego County,NY
50.1,48.2,Putnam County,NY
53.6,48.2,Queens County,NY
47,48.2,Rensselaer County,NY
52.4,48.2,Richmond County,NY
50.3,48.2,Rockland County,NY
44.6,48.2,St. Lawrence County,NY
45.9,48.2,Saratoga County,NY
46.2,48.2,Schenectady County,NY
45.8,48.2,Schoharie County,NY
47.4,48.2,Schuyler County,NY
48,48.2,Seneca County,NY
46.2,48.2,Steuben County,NY
52.1,48.2,Suffolk County,NY
45,48.2,Sullivan County,NY
46.7,48.2,Tioga County,NY
46.3,48.2,Tompkins County,NY
45.1,48.2,Ulster County,NY
44.4,48.2,Warren County,NY
46.4,48.2,Washington County,NY
48.5,48.2,Wayne County,NY
51.9,48.2,Westchester County,NY
47.3,48.2,Wyoming County,NY
47.4,48.2,Yates County,NY
58.5,58.7,Alamance County,NC
51.9,58.7,Alexander County,NC
52.1,58.7,Alleghany County,NC
60.4,58.7,Anson County,NC
52.1,58.7,Ashe County,NC
55.1,58.7,Avery County,NC
61.5,58.7,Beaufort County,NC
59.6,58.7,Bertie County,NC
61.7,58.7,Bladen County,NC
62.5,58.7,Brunswick County,NC
55.8,58.7,Buncombe County,NC
53.4,58.7,Burke County,NC
59.1,58.7,Cabarrus County,NC
50.6,58.7,Caldwell County,NC
60.2,58.7,Camden County,NC
62.9,58.7,Carteret County,NC
57.3,58.7,Caswell County,NC
58.3,58.7,Catawba County,NC
59.4,58.7,Chatham County,NC
57.9,58.7,Cherokee County,NC
59.9,58.7,Chowan County,NC
56.6,58.7,Clay County,NC
58.7,58.7,Cleveland County,NC
62.2,58.7,Columbus County,NC
61.9,58.7,Craven County,NC
60.7,58.7,Cumberland County,NC
60.2,58.7,Currituck County,NC
62.6,58.7,Dare County,NC
58.2,58.7,Davidson County,NC
57.1,58.7,Davie County,NC
61.2,58.7,Duplin County,NC
58.8,58.7,Durham County,NC
59.6,58.7,Edgecombe County,NC
56.6,58.7,Forsyth County,NC
58.5,58.7,Franklin County,NC
59,58.7,Gaston County,NC
59,58.7,Gates County,NC
58,58.7,Graham County,NC
58.3,58.7,Granville County,NC
60.8,58.7,Greene County,NC
57.5,58.7,Guilford County,NC
58.8,58.7,Halifax County,NC
60,58.7,Harnett County,NC
55.7,58.7,Haywood County,NC
54.9,58.7,Henderson County,NC
59,58.7,Hertford County,NC
60.4,58.7,Hoke County,NC
62.2,58.7,Hyde County,NC
57.7,58.7,Iredell County,NC
54.7,58.7,Jackson County,NC
60.3,58.7,Johnston County,NC
62.1,58.7,Jones County,NC
59.8,58.7,Lee County,NC
61.3,58.7,Lenoir County,NC
58.8,58.7,Lincoln County,NC
55.9,58.7,McDowell County,NC
56.9,58.7,Macon County,NC
60,58.7,Madison County,NC
53.9,58.7,Martin County,NC
59.6,58.7,Mecklenburg County,NC
56.5,58.7,Mitchell County,NC
59.7,58.7,Montgomery County,NC
59.9,58.7,Moore County,NC
58.7,58.7,Nash County,NC
62.8,58.7,New Hanover County,NC
58.7,58.7,Northampton County,NC
62.3,58.7,Onslow County,NC
58.5,58.7,Orange County,NC
62.2,58.7,Pamlico County,NC
60.2,58.7,Pasquotank County,NC
62.7,58.7,Pender County,NC
59.9,58.7,Perquimans County,NC
57.8,58.7,Person County,NC
60.6,58.7,Pitt County,NC
55.3,58.7,Polk County,NC
59.3,58.7,Randolph County,NC
60.3,58.7,Richmond County,NC
61.7,58.7,Robeson County,NC
56.6,58.7,Rockingham County,NC
58.6,58.7,Rowan County,NC
54.1,58.7,Rutherford County,NC
60.9,58.7,Sampson County,NC
61.6,58.7,Scotland County,NC
59.2,58.7,Stanly County,NC
55.8,58.7,Stokes County,NC
54.8,58.7,Surry County,NC
57.5,58.7,Swain County,NC
53.5,58.7,Transylvania County,NC
60.6,58.7,Tyrrell County,NC
60.4,58.7,Union County,NC
58.4,58.7,Vance County,NC
59.6,58.7,Wake County,NC
58.5,58.7,Warren County,NC
61.3,58.7,Washington County,NC
51.4,58.7,Watauga County,NC
60.6,58.7,Wayne County,NC
52.2,58.7,Wilkes County,NC
59.9,58.7,Wilson County,NC
56,58.7,Yadkin County,NC
56.4,58.7,Yancey County,NC
43.2,40.8,Adams County,ND
41.1,40.8,Barnes County,ND
38.8,40.8,Benson County,ND
43,40.8,Billings County,ND
39,40.8,Bottineau County,ND
44.1,40.8,Bowman County,ND
39.3,40.8,Burke County,ND
41.1,40.8,Burleigh County,ND
41.3,40.8,Cass County,ND
38,40.8,Cavalier County,ND
42.3,40.8,Dickey County,ND
40.5,40.8,Divide County,ND
42.5,40.8,Dunn County,ND
40.2,40.8,Eddy County,ND
43.1,40.8,Emmons County,ND
41,40.8,Foster County,ND
43.7,40.8,Golden Valley County,ND
40.5,40.8,Grand Forks County,ND
42.6,40.8,Grant County,ND
40.1,40.8,Griggs County,ND
43.1,40.8,Hettinger County,ND
41.1,40.8,Kidder County,ND
42,40.8,LaMoure County,ND
41.7,40.8,Logan County,ND
39.9,40.8,McHenry County,ND
41.6,40.8,McIntosh County,ND
43.1,40.8,McKenzie County,ND
41.3,40.8,McLean County,ND
41.9,40.8,Mercer County,ND
42.4,40.8,Morton County,ND
39.3,40.8,Mountrail County,ND
39.2,40.8,Nelson County,ND
41.9,40.8,Oliver County,ND
39,40.8,Pembina County,ND
39.1,40.8,Pierce County,ND
38.4,40.8,Ramsey County,ND
42,40.8,Ransom County,ND
39.4,40.8,Renville County,ND
42.5,40.8,Richland County,ND
37.8,40.8,Rolette County,ND
42.4,40.8,Sargent County,ND
41.2,40.8,Sheridan County,ND
43.3,40.8,Sioux County,ND
43.8,40.8,Slope County,ND
42.7,40.8,Stark County,ND
40.3,40.8,Steele County,ND
41.1,40.8,Stutsman County,ND
37.7,40.8,Towner County,ND
40.8,40.8,Traill County,ND
39.2,40.8,Walsh County,ND
40,40.8,Ward County,ND
41.4,40.8,Wells County,ND
40.8,40.8,Williams County,ND
52.8,50.9,Adams County,OH
50.3,50.9,Allen County,OH
49.4,50.9,Ashland County,OH
48.9,50.9,Ashtabula County,OH
51.3,50.9,Athens County,OH
51.1,50.9,Auglaize County,OH
51.5,50.9,Belmont County,OH
53.6,50.9,Brown County,OH
52.6,50.9,Butler County,OH
50.2,50.9,Carroll County,OH
51,50.9,Champaign County,OH
51.1,50.9,Clark County,OH
54.2,50.9,Clermont County,OH
52.3,50.9,Clinton County,OH
49.5,50.9,Columbiana County,OH
49.2,50.9,Coshocton County,OH
50.3,50.9,Crawford County,OH
50.2,50.9,Cuyahoga County,OH
50.7,50.9,Darke County,OH
48.8,50.9,Defiance County,OH
50.7,50.9,Delaware County,OH
50.5,50.9,Erie County,OH
52.5,50.9,Fairfield County,OH
51.7,50.9,Fayette County,OH
51.1,50.9,Franklin County,OH
48.8,50.9,Fulton County,OH
53.5,50.9,Gallia County,OH
49.9,50.9,Geauga County,OH
51.8,50.9,Greene County,OH
51.1,50.9,Guernsey County,OH
54.4,50.9,Hamilton County,OH
50,50.9,Hancock County,OH
50.7,50.9,Hardin County,OH
50.9,50.9,Harrison County,OH
49.3,50.9,Henry County,OH
51.8,50.9,Highland County,OH
52.2,50.9,Hocking County,OH
49.3,50.9,Holmes County,OH
50.1,50.9,Huron County,OH
52.7,50.9,Jackson County,OH
51.5,50.9,Jefferson County,OH
49.2,50.9,Knox County,OH
49.5,50.9,Lake County,OH
54.2,50.9,Lawrence County,OH
49.7,50.9,Licking County,OH
50.8,50.9,Logan County,OH
50.3,50.9,Lorain County,OH
49.9,50.9,Lucas County,OH
51,50.9,Madison County,OH
49.1,50.9,Mahoning County,OH
50.5,50.9,Marion County,OH
50.5,50.9,Medina County,OH
51.8,50.9,Meigs County,OH
50.9,50.9,Mercer County,OH
50.8,50.9,Miami County,OH
51.3,50.9,Monroe County,OH
51.5,50.9,Montgomery County,OH
51,50.9,Morgan County,OH
50,50.9,Morrow County,OH
50.4,50.9,Muskingum County,OH
51.3,50.9,Noble County,OH
50.3,50.9,Ottawa County,OH
49.5,50.9,Paulding County,OH
52.1,50.9,Perry County,OH
52.1,50.9,Pickaway County,OH
52.4,50.9,Pike County,OH
49.8,50.9,Portage County,OH
50.8,50.9,Preble County,OH
49.3,50.9,Putnam County,OH
49.4,50.9,Richland County,OH
51.8,50.9,Ross County,OH
50.3,50.9,Sandusky County,OH
52.9,50.9,Scioto County,OH
50.3,50.9,Seneca County,OH
51,50.9,Shelby County,OH
49.9,50.9,Stark County,OH
49.7,50.9,Summit County,OH
48.8,50.9,Trumbull County,OH
50.3,50.9,Tuscarawas County,OH
50.8,50.9,Union County,OH
50.5,50.9,Van Wert County,OH
52.4,50.9,Vinton County,OH
52.8,50.9,Warren County,OH
51.8,50.9,Washington County,OH
49.5,50.9,Wayne County,OH
48.3,50.9,Williams County,OH
49.9,50.9,Wood County,OH
50.4,50.9,Wyandot County,OH
59.3,60.1,Adair County,OK
58.6,60.1,Alfalfa County,OK
61.6,60.1,Atoka County,OK
56.1,60.1,Beaver County,OK
59.1,60.1,Beckham County,OK
59,60.1,Blaine County,OK
61.9,60.1,Bryan County,OK
60.1,60.1,Caddo County,OK
60,60.1,Canadian County,OK
61.6,60.1,Carter County,OK
60.2,60.1,Cherokee County,OK
62.5,60.1,Choctaw County,OK
54.4,60.1,Cimarron County,OK
60.7,60.1,Cleveland County,OK
61.5,60.1,Coal County,OK
60.9,60.1,Comanche County,OK
62.1,60.1,Cotton County,OK
57.5,60.1,Craig County,OK
60.1,60.1,Creek County,OK
58.4,60.1,Custer County,OK
58.9,60.1,Delaware County,OK
57.7,60.1,Dewey County,OK
57.1,60.1,Ellis County,OK
59.2,60.1,Garfield County,OK
61.2,60.1,Garvin County,OK
60.6,60.1,Grady County,OK
58.6,60.1,Grant County,OK
59.6,60.1,Greer County,OK
61.1,60.1,Harmon County,OK
57,60.1,Harper County,OK
60.7,60.1,Haskell County,OK
61.1,60.1,Hughes County,OK
61.6,60.1,Jackson County,OK
62.2,60.1,Jefferson County,OK
61.7,60.1,Johnston County,OK
58.5,60.1,Kay County,OK
59.4,60.1,Kingfisher County,OK
60.2,60.1,Kiowa County,OK
61.5,60.1,Latimer County,OK
61.5,60.1,Le Flore County,OK
60.4,60.1,Lincoln County,OK
59.7,60.1,Logan County,OK
62.3,60.1,Love County,OK
58.8,60.1,McClain County,OK
62.1,60.1,McCurtain County,OK
59.4,60.1,McIntosh County,OK
60.9,60.1,Major County,OK
60.8,60.1,Marshall County,OK
60.8,60.1,Mayes County,OK
61.5,60.1,Murray County,OK
60.9,60.1,Muskogee County,OK
59.2,60.1,Noble County,OK
57.8,60.1,Nowata County,OK
60.8,60.1,Okfuskee County,OK
60.4,60.1,Oklahoma County,OK
60.2,60.1,Okmulgee County,OK
59.3,60.1,Osage County,OK
57.1,60.1,Ottawa County,OK
59.7,60.1,Pawnee County,OK
59.3,60.1,Payne County,OK
61.4,60.1,Pittsburg County,OK
61.3,60.1,Pontotoc County,OK
60.8,60.1,Pottawatomie County,OK
62.3,60.1,Pushmataha County,OK
57.6,60.1,Roger Mills County,OK
59.2,60.1,Rogers County,OK
61,60.1,Seminole County,OK
60.6,60.1,Sequoyah County,OK
62,60.1,Stephens County,OK
55.8,60.1,Texas County,OK
61.6,60.1,Tillman County,OK
60,60.1,Tulsa County,OK
59.9,60.1,Wagoner County,OK
58.8,60.1,Washington County,OK
59.5,60.1,Washita County,OK
58.1,60.1,Woods County,OK
57.6,60.1,Woodward County,OK
47,51.3,Baker County,OR
50.9,51.3,Benton County,OR
53,51.3,Clackamas County,OR
50.8,51.3,Clatsop County,OR
50.8,51.3,Columbia County,OR
53,51.3,Coos County,OR
47.4,51.3,Crook County,OR
53.7,51.3,Curry County,OR
46.2,51.3,Deschutes County,OR
53.8,51.3,Douglas County,OR
49.2,51.3,Gilliam County,OR
47.3,51.3,Grant County,OR
45.6,51.3,Harney County,OR
48.7,51.3,Hood River County,OR
52.7,51.3,Jackson County,OR
48.5,51.3,Jefferson County,OR
54.4,51.3,Josephine County,OR
45.1,51.3,Klamath County,OR
46.9,51.3,Lake County,OR
52.6,51.3,Lane County,OR
50.9,51.3,Lincoln County,OR
50.9,51.3,Linn County,OR
49.1,51.3,Malheur County,OR
52.3,51.3,Marion County,OR
52.6,51.3,Morrow County,OR
53.6,51.3,Multnomah County,OR
51.2,51.3,Polk County,OR
50.1,51.3,Sherman County,OR
51.4,51.3,Tillamook County,OR
52.6,51.3,Umatilla County,OR
51,51.3,Union County,OR
45.1,51.3,Wallowa County,OR
50.7,51.3,Wasco County,OR
51.8,51.3,Washington County,OR
48.6,51.3,Wheeler County,OR
51.7,51.3,Yamhill County,OR
52,49.8,Adams County,PA
51.2,49.8,Allegheny County,PA
48.9,49.8,Armstrong County,PA
50.9,49.8,Beaver County,PA
49.1,49.8,Bedford County,PA
51.8,49.8,Berks County,PA
47.4,49.8,Blair County,PA
47.1,49.8,Bradford County,PA
51.3,49.8,Bucks County,PA
49.1,49.8,Butler County,PA
48.6,49.8,Cambria County,PA
45.7,49.8,Cameron County,PA
46.9,49.8,Carbon County,PA
48.1,49.8,Centre County,PA
52.1,49.8,Chester County,PA
47.7,49.8,Clarion County,PA
46.8,49.8,Clearfield County,PA
47.1,49.8,Clinton County,PA
47.8,49.8,Columbia County,PA
48,49.8,Crawford County,PA
51.2,49.8,Cumberland County,PA
51.1,49.8,Dauphin County,PA
52.6,49.8,Delaware County,PA
45.2,49.8,Elk County,PA
48.7,49.8,Erie County,PA
50.7,49.8,Fayette County,PA
47.7,49.8,Forest County,PA
50.7,49.8,Franklin County,PA
50,49.8,Fulton County,PA
51.7,49.8,Greene County,PA
47.8,49.8,Huntingdon County,PA
49.4,49.8,Indiana County,PA
47.7,49.8,Jefferson County,PA
50,49.8,Juniata County,PA
45.5,49.8,Lackawanna County,PA
52.9,49.8,Lancaster County,PA
49.4,49.8,Lawrence County,PA
51,49.8,Lebanon County,PA
51,49.8,Lehigh County,PA
46.7,49.8,Luzerne County,PA
47.3,49.8,Lycoming County,PA
44.6,49.8,McKean County,PA
48,49.8,Mercer County,PA
48.9,49.8,Mifflin County,PA
46.4,49.8,Monroe County,PA
52,49.8,Montgomery County,PA
47.8,49.8,Montour County,PA
48.4,49.8,Northampton County,PA
50.5,49.8,Northumberland County,PA
51,49.8,Perry County,PA
52.4,49.8,Philadelphia County,PA
46.7,49.8,Pike County,PA
45.2,49.8,Potter County,PA
50.3,49.8,Schuylkill County,PA
50.5,49.8,Snyder County,PA
49.3,49.8,Somerset County,PA
47.4,49.8,Sullivan County,PA
46.6,49.8,Susquehanna County,PA
45.9,49.8,Tioga County,PA
49.5,49.8,Union County,PA
47.5,49.8,Venango County,PA
47.8,49.8,Warren County,PA
51.6,49.8,Washington County,PA
46.1,49.8,Wayne County,PA
50.7,49.8,Westmoreland County,PA
46,49.8,Wyoming County,PA
53,49.8,York County,PA
50.3,49.3,Bristol County,RI
49.4,49.3,Kent County,RI
50.5,49.3,Newport County,RI
48.5,49.3,Providence County,RI
50.2,49.3,Washington County,RI
61.2,61.7,Abbeville County,SC
62.9,61.7,Aiken County,SC
63.9,61.7,Allendale County,SC
60.9,61.7,Anderson County,SC
64.3,61.7,Bamberg County,SC
63.6,61.7,Barnwell County,SC
66,61.7,Beaufort County,SC
64.1,61.7,Berkeley County,SC
64,61.7,Calhoun County,SC
65.1,61.7,Charleston County,SC
58.8,61.7,Cherokee County,SC
60.7,61.7,Chester County,SC
61.5,61.7,Chesterfield County,SC
63.9,61.7,Clarendon County,SC
64.6,61.7,Colleton County,SC
61.7,61.7,Darlington County,SC
62.4,61.7,Dillon County,SC
64.1,61.7,Dorchester County,SC
61.7,61.7,Edgefield County,SC
60.9,61.7,Fairfield County,SC
63.2,61.7,Florence County,SC
64,61.7,Georgetown County,SC
55.7,61.7,Greenville County,SC
61,61.7,Greenwood County,SC
64.8,61.7,Hampton County,SC
63.3,61.7,Horry County,SC
65.8,61.7,Jasper County,SC
